Round,Team 1,Team 2,Pool,WIN
1,VKS,TSW,0-0,TSW
1,CFO,FNC,0-0,CFO
1,KT,MKOI,0-0,KT
1,BLG,100T,0-0,100T
1,FLY,T1,0-0,T1
1,HLE,AL,0-0,AL
1,G2,TES,0-0,TES
1,GEN,PSG,0-0,GEN
2,KT,TSW,1-0,KT
2,TES,100T,1-0,TES
2,T1,CFO,1-0,CFO
2,AL,GEN,1-0,AL
2,FLY,VKS,0-1,FLY
2,MKOI,G2,0-1,G2
2,BLG,FNC,0-1,BLG
2,PSG,HLE,0-1,HLE
3,KT,TES,2-0,KT
3,CFO,AL,2-0,AL
3,TSW,FLY,1-1,FLY
3,GEN,T1,1-1,GEN
3,G2,BLG,1-1,G2
3,100T,HLE,1-1,HLE
3,MKOI,FNC,0-2,MKOI
3,VKS,PSG,0-2,VKS
4,HLE,CFO,2-1,HLE
4,G2,FLY,2-1,G2
4,GEN,TES,2-1,GEN
4,MKOI,TSW,1-2,MKOI
4,BLG,VKS,1-2,BLG
4,100T,T1,1-2,T1
5,CFO,FLY,2-2,CFO
5,TES,BLG,2-2,TES
5,T1,MKOI,2-2,T1
